"TRIBUNAL_J","N_TJ","pourcentage_mono"
"Tribunal judiciaire d'Agen","119",8.19685837421824
"Tribunal judiciaire d'Aix-en-Provence","58",10.5061992559429
"Tribunal judiciaire d'Ajaccio","71",10.8888554167927
"Tribunal judiciaire d'Albertville","174",8.42446458355309
"Tribunal judiciaire d'Albi","192",9.21986557916963
"Tribunal judiciaire d'Alençon","151",6.69606526754423
"Tribunal judiciaire d'Alès","89",9.70013467170818
"Tribunal judiciaire d'Amiens","190",8.19354947982074
"Tribunal judiciaire d'Angers","122",6.28768166163834
"Tribunal judiciaire d'Angoulême","64",7.97886683267376
"Tribunal judiciaire d'Annecy","176",7.09529143099691
"Tribunal judiciaire d'Argentan","152",5.90454119598633
"Tribunal judiciaire d'Arras","153",7.9894184750836
"Tribunal judiciaire d'Auch","93",8.47990160971784
"Tribunal judiciaire d'Aurillac","63",6.84133291162656
"Tribunal judiciaire d'Auxerre","205",8.35528460536533
"Tribunal judiciaire d'Avesnes-sur-Helpe","141",9.62467624118303
"Tribunal judiciaire d'Avignon","197",9.74274793858063
"Tribunal judiciaire d'Epinal","203",7.6964020320173
"Tribunal judiciaire d'Evreux","84",8.02021793694856
"Tribunal judiciaire d'Orléans","117",8.11306084530411
"Tribunal judiciaire d'Évry-Courcouronnes","208",10.2690341540578
"Tribunal judiciaire de Bar-le-Duc","133",7.18294023425042
"Tribunal judiciaire de Bastia","72",11.7127166263599
"Tribunal judiciaire de Bayonne","159",8.26531741998595
"Tribunal judiciaire de Beauvais","148",8.67821080552967
"Tribunal judiciaire de Belfort","207",8.00835609500123
"Tribunal judiciaire de Bergerac","78",8.08010984131413
"Tribunal judiciaire de Besançon","80",7.68597535654756
"Tribunal judiciaire de Blois","109",7.3505340094446
"Tribunal judiciaire de Bobigny","210",15.7726270611068
"Tribunal judiciaire de Bonneville","177",8.81340044611672
"Tribunal judiciaire de Bordeaux","94",8.3987635142738
"Tribunal judiciaire de Boulogne-sur-Mer","155",7.63333323412699
"Tribunal judiciaire de Bourg-en-Bresse","39",8.05322141824277
"Tribunal judiciaire de Bourges","68",7.25141799269202
"Tribunal judiciaire de Bourgoin-Jallieu","102",8.25777927083012
"Tribunal judiciaire de Brest","86",7.50215562022093
"Tribunal judiciaire de Brive-la-Gaillarde","69",7.37706930920469
"Tribunal judiciaire de Béthune","154",9.98071401610086
"Tribunal judiciaire de Béziers","96",9.78519535908632
"Tribunal judiciaire de Caen","61",7.39516954272029
"Tribunal judiciaire de Cahors","118",7.35133848413881
"Tribunal judiciaire de Cambrai","142",9.29575873644881
"Tribunal judiciaire de Carcassonne","54",9.32824616296213
"Tribunal judiciaire de Carpentras","198",9.14230862604325
"Tribunal judiciaire de Castres","193",7.57813763714396
"Tribunal judiciaire de Chalon-sur-Saône","171",7.30850476411606
"Tribunal judiciaire de Chambéry","175",7.89626598734615
"Tribunal judiciaire de Charleville-Mézières","51",7.77984751703297
"Tribunal judiciaire de Chartres","85",7.0225146089716
"Tribunal judiciaire de Chaumont","129",7.19197686788622
"Tribunal judiciaire de Cherbourg-en-Cotentin","125",6.57380485209627
"Tribunal judiciaire de Châlons-en-Champagne","127",6.44016407506558
"Tribunal judiciaire de Châteauroux","100",7.29712755592127
"Tribunal judiciaire de Clermont-Ferrand","157",7.64265448945192
"Tribunal judiciaire de Colmar","165",8.16592795938067
"Tribunal judiciaire de Compiègne","149",8.45278599917577
"Tribunal judiciaire de Coutances","126",6.30630514903455
"Tribunal judiciaire de Créteil","211",13.1584560018264
"Tribunal judiciaire de Cusset","43",8.12494253308942
"Tribunal judiciaire de Dax","107",8.8206639773284
"Tribunal judiciaire de Dieppe","180",6.63124873783746
"Tribunal judiciaire de Digne-les-Bains","46",9.11234959753313
"Tribunal judiciaire de Dijon","73",7.04287524588124
"Tribunal judiciaire de Douai","143",9.8762968994805
"Tribunal judiciaire de Draguignan","195",9.56762925255171
"Tribunal judiciaire de Dunkerque","144",7.9913221748831
"Tribunal judiciaire de Foix","52",9.88483245547906
"Tribunal judiciaire de Fontainebleau","183",9.08414133301048
"Tribunal judiciaire de Gap","47",8.05500390636286
"Tribunal judiciaire de Grasse","48",9.92264130463331
"Tribunal judiciaire de Grenoble","103",7.94756803794198
"Tribunal judiciaire de Guéret","77",7.8855232900164
"Tribunal judiciaire de La Roche-sur-Yon","199",6.16582010097454
"Tribunal judiciaire de La Rochelle","66",7.7898119553113
"Tribunal judiciaire de Laon","40",8.61290712605335
"Tribunal judiciaire de Laval","130",5.83969292899281
"Tribunal judiciaire de Libourne","95",8.84353306297384
"Tribunal judiciaire de Lille","146",9.69769453421491
"Tribunal judiciaire de Limoges","202",7.46871992099957
"Tribunal judiciaire de Lisieux","62",5.99503899290052
"Tribunal judiciaire de Lons-le-Saunier","106",7.24480808131975
"Tribunal judiciaire de Lorient","135",7.64764024587548
"Tribunal judiciaire de Lyon","167",8.54589066659081
"Tribunal judiciaire de Marseille","59",12.0786783595094
"Tribunal judiciaire de Meaux","184",10.445387453699
"Tribunal judiciaire de Melun","185",9.2359709504161
"Tribunal judiciaire de Mende","121",6.5527862326132
"Tribunal judiciaire de Metz","137",8.05792107683379
"Tribunal judiciaire de Mont-de-Marsan","108",7.46446788445624
"Tribunal judiciaire de Montargis","116",7.71565095065039
"Tribunal judiciaire de Montauban","194",9.34365890440055
"Tribunal judiciaire de Montbéliard","81",7.68710032527495
"Tribunal judiciaire de Montluçon","44",7.28962134968578
"Tribunal judiciaire de Montpellier","97",9.62869353259635
"Tribunal judiciaire de Moulins","45",6.65897473411644
"Tribunal judiciaire de Mulhouse","166",7.72246979251342
"Tribunal judiciaire de Mâcon","172",6.28590511671926
"Tribunal judiciaire de Nancy","132",7.84721328265111
"Tribunal judiciaire de Nanterre","209",11.3486858530566
"Tribunal judiciaire de Nantes","114",7.4664918647422
"Tribunal judiciaire de Narbonne","55",8.12100816066641
"Tribunal judiciaire de Nevers","140",7.33165859571944
"Tribunal judiciaire de Nice","49",9.93835529558946
"Tribunal judiciaire de Niort","188",6.57389519624882
"Tribunal judiciaire de Nîmes","90",9.3674838400224
"Tribunal judiciaire de Paris","15273",8.77986609778017
"Tribunal judiciaire de Pau","160",8.43767775530143
"Tribunal judiciaire de Perpignan","162",9.95501909577278
"Tribunal judiciaire de Poitiers","201",7.45844852484175
"Tribunal judiciaire de Pontoise","212",10.3714346388713
"Tribunal judiciaire de Privas","50",8.12207721096143
"Tribunal judiciaire de Périgueux","79",7.61558976547194
"Tribunal judiciaire de Quimper","88",7.50585315987744
"Tribunal judiciaire de Reims","128",6.96205227642556
"Tribunal judiciaire de Rennes","98",6.96994940553362
"Tribunal judiciaire de Roanne","111",6.38371838261342
"Tribunal judiciaire de Rodez","57",6.77693262657303
"Tribunal judiciaire de Rouen","182",7.22185229214986
"Tribunal judiciaire de Saint-Brieuc","76",7.7474470472717
"Tribunal judiciaire de Saint-Etienne","112",7.03273241237658
"Tribunal judiciaire de Saint-Malo","99",7.49162462635446
"Tribunal judiciaire de Saint-Nazaire","115",7.49823370320279
"Tribunal judiciaire de Saint-Omer","156",8.10505373705399
"Tribunal judiciaire de Saint-Quentin","41",7.55874646790601
"Tribunal judiciaire de Saintes","67",8.12702470434328
"Tribunal judiciaire de Sarreguemines","138",8.51447868628504
"Tribunal judiciaire de Saumur","48312",6.23238431038131
"Tribunal judiciaire de Saverne","163",8.40299982525618
"Tribunal judiciaire de Senlis","150",9.56335013331211
"Tribunal judiciaire de Sens","206",7.69132470535482
"Tribunal judiciaire de Soissons","42",7.98188894987419
"Tribunal judiciaire de St Gaudens","48313",9.44932923150414
"Tribunal judiciaire de Strasbourg","164",7.52060032507153
"Tribunal judiciaire de Tarascon","60",9.58987171239161
"Tribunal judiciaire de Tarbes","161",8.04743681941584
"Tribunal judiciaire de Thionville","139",8.5358302471113
"Tribunal judiciaire de Thonon-les-Bains","178",9.07728555671784
"Tribunal judiciaire de Toulon","196",9.38828315150464
"Tribunal judiciaire de Toulouse","92",8.71015867456218
"Tribunal judiciaire de Tours","101",7.13940274836497
"Tribunal judiciaire de Troyes","53",7.95335448901509
"Tribunal judiciaire de Tulle","48314",6.9846631159671
"Tribunal judiciaire de Val de Briey","131",8.80380737217468
"Tribunal judiciaire de Valence","82",8.65722267757365
"Tribunal judiciaire de Valenciennes","147",11.2646925952823
"Tribunal judiciaire de Vannes","136",6.84357965346993
"Tribunal judiciaire de Verdun","134",7.99697277329205
"Tribunal judiciaire de Versailles","186",9.34090803915512
"Tribunal judiciaire de Vesoul","170",7.33830433870399
"Tribunal judiciaire de Vienne","104",8.33522644180703
"Tribunal judiciaire de Villefranche-sur-Saône","168",7.15085505926152
"Tribunal judiciaire des Sables-d'Olonne","200",6.49103252091812
"Tribunal judiciaire du Havre","181",6.31229784207683
"Tribunal judiciaire du Mans","173",6.33818231174258
"Tribunal judiciaire du Puy-en-Velay","113",7.40576911095966
